05-18-2026 02:34:33 RAM 3275/7620MB (lfb 26x4MB) SWAP 0/3810MB (cached 0MB) CPU [39%@1344,50%@1344,38%@1344,40%@1344,59%@883,36%@883] GR3D_FREQ 60% cpu@44C soc2@42.687C soc0@43.593C gpu@44.218C tj@44.218C soc1@43.75C VDD_IN 8546mW/7494mW VDD_CPU_GPU_CV 3184mW/2450mW VDD_SOC 1916mW/1791mW
05-18-2026 02:34:34 RAM 3296/7620MB (lfb 27x4MB) SWAP 0/3810MB (cached 0MB) CPU [47%@729,50%@729,49%@729,44%@729,49%@729,46%@729] GR3D_FREQ 39% cpu@44C soc2@42.562C soc0@43.687C gpu@44.312C tj@44.312C soc1@43.812C VDD_IN 7827mW/7502mW VDD_CPU_GPU_CV 2591mW/2453mW VDD_SOC 1876mW/1793mW
05-18-2026 02:34:35 RAM 3320/7620MB (lfb 24x4MB) SWAP 0/3810MB (cached 0MB) CPU [46%@729,39%@729,35%@729,32%@729,59%@1344,29%@1344] GR3D_FREQ 0% cpu@43.875C soc2@42.468C soc0@43.656C gpu@44.375C tj@44.375C soc1@43.906C VDD_IN 6400mW/7476mW VDD_CPU_GPU_CV 1717mW/2436mW VDD_SOC 1640mW/1789mW
05-18-2026 02:34:36 RAM 3551/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [36%@729,27%@729,33%@729,26%@729,51%@806,36%@806] GR3D_FREQ 49% cpu@44.187C soc2@42.718C soc0@43.531C gpu@44.562C tj@44.562C soc1@44.031C VDD_IN 7747mW/7482mW VDD_CPU_GPU_CV 2591mW/2440mW VDD_SOC 1837mW/1790mW
05-18-2026 02:34:37 RAM 3707/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [29%@806,39%@806,46%@806,36%@806,33%@729,35%@729] GR3D_FREQ 73% cpu@43.937C soc2@42.718C soc0@43.812C gpu@44.312C tj@44.312C soc1@44.093C VDD_IN 7560mW/7484mW VDD_CPU_GPU_CV 2392mW/2439mW VDD_SOC 1837mW/1791mW
05-18-2026 02:34:38 RAM 3702/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [47%@729,35%@729,41%@729,37%@729,38%@729,36%@729] GR3D_FREQ 0% cpu@44.062C soc2@42.718C soc0@43.625C gpu@44.437C tj@44.437C soc1@43.906C VDD_IN 7867mW/7493mW VDD_CPU_GPU_CV 2591mW/2442mW VDD_SOC 1876mW/1793mW
05-18-2026 02:34:39 RAM 3705/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [43%@960,40%@960,34%@960,40%@960,40%@729,40%@729] GR3D_FREQ 98% cpu@44.281C soc2@42.906C soc0@43.781C gpu@44.875C tj@44.875C soc1@43.968C VDD_IN 8107mW/7506mW VDD_CPU_GPU_CV 2786mW/2449mW VDD_SOC 1916mW/1796mW
05-18-2026 02:34:40 RAM 3705/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [42%@729,41%@729,37%@729,41%@729,39%@729,37%@729] GR3D_FREQ 43% cpu@44.031C soc2@42.781C soc0@43.843C gpu@44.5C tj@44.5C soc1@44.25C VDD_IN 7907mW/7514mW VDD_CPU_GPU_CV 2627mW/2453mW VDD_SOC 1916mW/1798mW
05-18-2026 02:34:41 RAM 3704/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [44%@806,40%@806,42%@729,41%@729,37%@729,36%@729] GR3D_FREQ 81% cpu@44.25C soc2@42.968C soc0@43.843C gpu@44.593C tj@44.593C soc1@44.062C VDD_IN 8146mW/7527mW VDD_CPU_GPU_CV 2786mW/2460mW VDD_SOC 1916mW/1801mW
05-18-2026 02:34:42 RAM 3708/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [42%@729,40%@729,43%@729,41%@729,38%@729,39%@729] GR3D_FREQ 71% cpu@44.281C soc2@42.875C soc0@43.968C gpu@44.843C tj@44.843C soc1@44.156C VDD_IN 8107mW/7538mW VDD_CPU_GPU_CV 2746mW/2465mW VDD_SOC 1916mW/1803mW
